iter	score_forCAT	Logloss
0	0.3226201269	0.578357258
1	0.348368087	0.4867481938
2	0.3751586582	0.4073831
3	0.3776065277	0.3537547562
4	0.3799184044	0.3114472211
5	0.3866273799	0.2744321438
6	0.3901631913	0.2522815807
7	0.3982774252	0.234717426
8	0.4000453309	0.2188153113
9	0.4010426111	0.2060137553
10	0.4073436083	0.1953588631
11	0.407524932	0.1839554951
12	0.4040797824	0.1760898359
13	0.4053490481	0.1704273771
14	0.4071169538	0.1639913742
15	0.4094741614	0.1595134525
16	0.4110154125	0.1550161965
17	0.413961922	0.1511812154
18	0.4148232094	0.1483723203
19	0.4186310063	0.1452729049
20	0.4207615594	0.1429825735
21	0.4228467815	0.1413829223
22	0.4257026292	0.1396673452
23	0.426337262	0.1384791123
24	0.4304170444	0.1373735617
25	0.4319582956	0.1358045214
26	0.4363553944	0.1348683356
27	0.4378059837	0.133500152
28	0.4417497733	0.1321770507
29	0.4450589302	0.1311715064
30	0.4450589302	0.1302411595
31	0.4454215775	0.1294311384
32	0.4463735267	0.1291372438
33	0.4467361741	0.1286874302
34	0.4474614687	0.1282905714
35	0.4495013599	0.1278013581
36	0.4496826836	0.1274571116
37	0.4504533092	0.1269156736
38	0.4519945603	0.1266517448
39	0.4530825023	0.126377369
40	0.4544877607	0.1261049535
41	0.4540344515	0.1258870985
42	0.4543517679	0.1257451309
43	0.4547144152	0.1254741947
44	0.4556663645	0.1250674355
45	0.4577062557	0.1246489923
46	0.4575702629	0.1244420842
47	0.458068903	0.1242274579
48	0.4589755213	0.1238683495
49	0.4601087942	0.1236121419
50	0.4606074343	0.1235114443
51	0.4611060743	0.1233910703
52	0.4622846782	0.1231407574
53	0.4641432457	0.1226270017
54	0.4652765186	0.1222550714
55	0.4664097915	0.1220975463
56	0.4688576609	0.1216900906
57	0.4699456029	0.121327537
58	0.4701722575	0.1211872811
59	0.4724388033	0.1209106008
60	0.4747960109	0.1205693787
61	0.475294651	0.1202319741
62	0.475793291	0.1199244756
63	0.4765639166	0.1197486041
64	0.4769718948	0.1195922765
65	0.4780598368	0.1195140426
66	0.4784224841	0.1193590706
67	0.4787398005	0.1190569151
68	0.4796917498	0.118952729
69	0.4807343608	0.1187436417
70	0.4839075249	0.1184980015
71	0.4849954669	0.1181687928
72	0.4853127833	0.1180450246
73	0.4859474161	0.1178969272
74	0.4878966455	0.1176509096
75	0.4878966455	0.1175965935
76	0.4889392566	0.1173466704
77	0.4899365367	0.1170416959
78	0.490299184	0.1169728437
79	0.4918404352	0.1167033908
80	0.4936083409	0.1165369735
81	0.4927470535	0.1164623505
82	0.4930643699	0.1162586166
83	0.4943789665	0.1160045686
84	0.4961015413	0.1156983372
85	0.4970988214	0.1155752047
86	0.4974614687	0.1153606538
87	0.5012239347	0.1151656569
88	0.5017679057	0.115012878
89	0.5019492294	0.1148075034
90	0.5045330916	0.1144298781
91	0.5058023572	0.1142714191
92	0.5057116954	0.114174219
93	0.5063463282	0.1140144134
94	0.5084315503	0.1137129654
95	0.5084315503	0.1135620933
96	0.5095648232	0.1133451178
97	0.5095648232	0.1133446674
98	0.5103354488	0.1132270876
99	0.511831369	0.1129791264
100	0.5126926564	0.1128281379
101	0.5133726201	0.1126754092
102	0.5143699003	0.1125862318
103	0.5151858568	0.1124310876
104	0.5157298277	0.1121701801
105	0.5185856754	0.1119772326
106	0.5194922937	0.1117594509
107	0.519356301	0.1116932751
108	0.520444243	0.1114986063
109	0.5210335449	0.1114343121
110	0.5233907525	0.1112353431
111	0.5245693563	0.1110856469
112	0.524705349	0.1108804232
113	0.526337262	0.110446039
114	0.5280598368	0.1102290109
115	0.5278785131	0.1100961642
116	0.528513146	0.1099606784
117	0.5318676337	0.1097974797
118	0.5323209429	0.109671096
119	0.5361740707	0.1094317042
120	0.5363100635	0.1092295325
121	0.5358567543	0.1090956875
122	0.5395738894	0.1087015549
123	0.5414324569	0.1084835073
124	0.5420670898	0.1080568769
125	0.5432003626	0.1077690034
126	0.5460562103	0.1074902172
127	0.5457388939	0.1073540505
128	0.5466455122	0.1072639894
129	0.5486854034	0.1069952341
130	0.5485947416	0.1069314286
131	0.5485947416	0.1068509444
132	0.5493653672	0.1067155114
133	0.5506346328	0.1064177286
134	0.5519945603	0.1062886692
135	0.5519492294	0.1060943202
136	0.5546237534	0.1059326272
137	0.5548050771	0.1057583245
138	0.5548050771	0.1056521887
139	0.5549410698	0.1053762783
140	0.5557116954	0.1053051442
141	0.5572529465	0.1051476458
142	0.5573889393	0.1050528831
143	0.5588848595	0.1048416414
144	0.5592928377	0.1046534648
145	0.5592475068	0.1044807631
146	0.5604261106	0.1042838672
147	0.5611514053	0.1040630033
148	0.5614687217	0.1040321248
149	0.5635539438	0.1038271169
150	0.5627379873	0.1036949049
151	0.562919311	0.103507882
152	0.564505893	0.1033352951
153	0.5649592022	0.1032242335
154	0.5647778785	0.1031532396
155	0.5649138713	0.1031307619
156	0.5655485041	0.1029292375
157	0.5690389846	0.1027174051
158	0.5687669991	0.1026597984
159	0.5706255666	0.1025786359
