iter	Passed	Remaining
0	114	1143221
1	235	1176417
2	360	1202768
3	489	1222059
4	615	1230275
5	741	1235499
6	859	1226571
7	979	1223242
8	1097	1218704
9	1220	1219245
10	1342	1218847
11	1462	1217337
12	1585	1218397
13	1707	1218118
14	1829	1217663
15	1955	1220397
16	2085	1224923
17	2204	1222428
18	2330	1224425
19	2446	1220778
20	2565	1219207
21	2695	1222473
22	2817	1222397
23	2944	1223909
24	3073	1226210
25	3197	1226571
26	3320	1226406
27	3452	1229415
28	3570	1227718
29	3690	1226379
30	3809	1224936
31	3923	1222100
32	4047	1222515
33	4169	1222133
34	4289	1221162
35	4409	1220548
36	4528	1219507
37	4662	1222250
38	4784	1222043
39	4902	1220767
40	5041	1224545
41	5166	1224922
42	5284	1223783
43	5406	1223442
44	5527	1222828
45	5657	1224165
46	5794	1227096
47	5916	1226589
48	6039	1226611
49	6161	1226095
50	6281	1225340
51	6397	1223956
52	6524	1224560
53	6645	1224035
54	6774	1224866
55	6902	1225659
56	7030	1226368
57	7155	1226626
58	7274	1225666
59	7399	1225850
60	7523	1225850
61	7654	1226949
62	7766	1224951
63	7898	1226281
64	8027	1227009
65	8159	1228186
66	8300	1230605
67	8431	1231427
68	8572	1233880
69	8698	1233933
70	8828	1234592
71	8950	1234207
72	9076	1234325
73	9202	1234342
74	9325	1234053
75	9447	1233629
76	9597	1236789
77	9716	1235999
78	9840	1235841
79	9958	1234883
80	10072	1233456
81	10187	1232180
82	10324	1233632
83	10451	1233793
84	10569	1232896
85	10692	1232659
86	10813	1232168
87	10944	1232768
88	11075	1233347
89	11190	1232219
90	11311	1231691
91	11431	1231095
92	11560	1231543
93	11678	1230734
94	11820	1232486
95	11946	1232531
96	12077	1233027
97	12135	1226152
98	12242	1224393
99	12367	1224377
100	12488	1223969
101	12612	1223863
102	12745	1224721
103	12865	1224201
104	12999	1225017
105	13147	1227166
106	13272	1227182
107	13389	1226402
108	13506	1225658
109	13628	1225345
110	13751	1225087
111	13872	1224720
112	13996	1224602
113	14127	1225094
114	14250	1224910
115	14372	1224597
116	14490	1223997
117	14610	1223568
118	14725	1222731
119	14850	1222723
120	14982	1223268
121	15158	1227343
122	15301	1228692
123	15430	1228928
124	15550	1228520
125	15676	1228457
126	15798	1228153
127	15923	1228127
128	16043	1227638
129	16166	1227405
130	16302	1228135
131	16434	1228602
132	16567	1229129
133	16699	1229504
134	16825	1229522
135	16949	1229315
136	17079	1229573
137	17211	1230021
138	17335	1229828
139	17460	1229724
140	17582	1229421
141	17707	1229322
142	17827	1228851
143	17951	1228700
144	18059	1227404
145	18178	1226952
146	18295	1226323
147	18419	1226143
148	18542	1225944
149	18663	1225597
150	18784	1225221
151	18908	1225040
152	19034	1225023
153	19153	1224592
154	19270	1224017
155	19381	1223040
156	19502	1222684
157	19625	1222484
158	19745	1222135
159	19852	1220909
